Africa/Abidjan, Greenwich Mean Time, 0,
Africa/Accra, Ghana Mean Time, 0,
Africa/Addis_Ababa, Eastern African Time, 3,
Africa/Algiers, Central European Time, 1,
Africa/Asmara, Eastern African Time, 3,
Africa/Asmera, Eastern African Time, 3,
Africa/Bamako, Greenwich Mean Time, 0,
Africa/Bangui, Western African Time, 1,
Africa/Banjul, Greenwich Mean Time, 0,
Africa/Bissau, Greenwich Mean Time, 0,
Africa/Blantyre, Central African Time, 2,
Africa/Brazzaville, Western African Time, 1,
Africa/Bujumbura, Central African Time, 2,
Africa/Cairo, Eastern European Time, 2,
Africa/Casablanca, Western European Time, 0,
Africa/Ceuta, Central European Time, 1,
Africa/Conakry, Greenwich Mean Time, 0,
Africa/Dakar, Greenwich Mean Time, 0,
Africa/Dar_es_Salaam, Eastern African Time, 3,
Africa/Djibouti, Eastern African Time, 3,
Africa/Douala, Western African Time, 1,
Africa/El_Aaiun, Western European Time, 0,
Africa/Freetown, Greenwich Mean Time, 0,
Africa/Gaborone, Central African Time, 2,
Africa/Harare, Central African Time, 2,
Africa/Johannesburg, South Africa Standard Time, 2,
Africa/Juba, GMT+03:00, 3,
Africa/Kampala, Eastern African Time, 3,
Africa/Khartoum, Eastern African Time, 3,
Africa/Kigali, Central African Time, 2,
Africa/Kinshasa, Western African Time, 1,
Africa/Lagos, Western African Time, 1,
Africa/Libreville, Western African Time, 1,
Africa/Lome, Greenwich Mean Time, 0,
Africa/Luanda, Western African Time, 1,
Africa/Lubumbashi, Central African Time, 2,
Africa/Lusaka, Central African Time, 2,
Africa/Malabo, Western African Time, 1,
Africa/Maputo, Central African Time, 2,
Africa/Maseru, South Africa Standard Time, 2,
Africa/Mbabane, South Africa Standard Time, 2,
Africa/Mogadishu, Eastern African Time, 3,
Africa/Monrovia, Greenwich Mean Time, 0,
Africa/Nairobi, Eastern African Time, 3,
Africa/Ndjamena, Western African Time, 1,
Africa/Niamey, Western African Time, 1,
Africa/Nouakchott, Greenwich Mean Time, 0,
Africa/Ouagadougou, Greenwich Mean Time, 0,
Africa/Porto-Novo, Western African Time, 1,
Africa/Sao_Tome, Greenwich Mean Time, 0,
Africa/Timbuktu, Greenwich Mean Time, 0,
Africa/Tripoli, Eastern European Time, 2,
Africa/Tunis, Central European Time, 1,
Africa/Windhoek, Western African Time, 1,
America/Adak, Hawaii-Aleutian Standard Time, -10,
America/Anchorage, Alaska Standard Time, -9,
America/Anguilla, Atlantic Standard Time, -4,
America/Antigua, Atlantic Standard Time, -4,
America/Araguaina, Brasilia Time, -3,
America/Argentina/Buenos_Aires, Argentine Time, -3,
America/Argentina/Catamarca, Argentine Time, -3,
America/Argentina/ComodRivadavia, Argentine Time, -3,
America/Argentina/Cordoba, Argentine Time, -3,
America/Argentina/Jujuy, Argentine Time, -3,
America/Argentina/La_Rioja, Argentine Time, -3,
America/Argentina/Mendoza, Argentine Time, -3,
America/Argentina/Rio_Gallegos, Argentine Time, -3,
America/Argentina/Salta, Argentine Time, -3,
America/Argentina/San_Juan, Argentine Time, -3,
America/Argentina/San_Luis, Western Argentine Time, -4,
America/Argentina/Tucuman, Argentine Time, -3,
America/Argentina/Ushuaia, Argentine Time, -3,
America/Aruba, Atlantic Standard Time, -4,
America/Asuncion, Paraguay Time, -4,
America/Atikokan, Eastern Standard Time, -5,
America/Atka, Hawaii-Aleutian Standard Time, -10,
America/Bahia, Brasilia Time, -3,
America/Bahia_Banderas, Central Standard Time, -6,
America/Barbados, Atlantic Standard Time, -4,
America/Belem, Brasilia Time, -3,
America/Belize, Central Standard Time, -6,
America/Blanc-Sablon, Atlantic Standard Time, -4,
America/Boa_Vista, Amazon Time, -4,
America/Bogota, Colombia Time, -5,
America/Boise, Mountain Standard Time, -7,
America/Buenos_Aires, Argentine Time, -3,
America/Cambridge_Bay, Mountain Standard Time, -7,
America/Campo_Grande, Amazon Time, -4,
America/Cancun, Central Standard Time, -6,
America/Caracas, Venezuela Time, -4.5,
America/Catamarca, Argentine Time, -3,
America/Cayenne, French Guiana Time, -3,
America/Cayman, Eastern Standard Time, -5,
America/Chicago, Central Standard Time, -6,
America/Chihuahua, Mountain Standard Time, -7,
America/Coral_Harbour, Eastern Standard Time, -5,
America/Cordoba, Argentine Time, -3,
America/Costa_Rica, Central Standard Time, -6,
America/Cuiaba, Amazon Time, -4,
America/Curacao, Atlantic Standard Time, -4,
America/Danmarkshavn, Greenwich Mean Time, 0,
America/Dawson, Pacific Standard Time, -8,
America/Dawson_Creek, Mountain Standard Time, -7,
America/Denver, Mountain Standard Time, -7,
America/Detroit, Eastern Standard Time, -5,
America/Dominica, Atlantic Standard Time, -4,
America/Edmonton, Mountain Standard Time, -7,
America/Eirunepe, Amazon Time, -4,
America/El_Salvador, Central Standard Time, -6,
America/Ensenada, Pacific Standard Time, -8,
America/Fort_Wayne, Eastern Standard Time, -5,
America/Fortaleza, Brasilia Time, -3,
America/Glace_Bay, Atlantic Standard Time, -4,
America/Godthab, Western Greenland Time, -3,
America/Goose_Bay, Atlantic Standard Time, -4,
America/Grand_Turk, Eastern Standard Time, -5,
America/Grenada, Atlantic Standard Time, -4,
America/Guadeloupe, Atlantic Standard Time, -4,
America/Guatemala, Central Standard Time, -6,
America/Guayaquil, Ecuador Time, -5,
America/Guyana, Guyana Time, -4,
America/Halifax, Atlantic Standard Time, -4,
America/Havana, Cuba Standard Time, -5,
America/Hermosillo, Mountain Standard Time, -7,
America/Indiana/Indianapolis, Eastern Standard Time, -5,
America/Indiana/Knox, Central Standard Time, -6,
America/Indiana/Marengo, Eastern Standard Time, -5,
America/Indiana/Petersburg, Eastern Standard Time, -5,
America/Indiana/Tell_City, Central Standard Time, -6,
America/Indiana/Vevay, Eastern Standard Time, -5,
America/Indiana/Vincennes, Eastern Standard Time, -5,
America/Indiana/Winamac, Eastern Standard Time, -5,
America/Indianapolis, Eastern Standard Time, -5,
America/Inuvik, Mountain Standard Time, -7,
America/Iqaluit, Eastern Standard Time, -5,
America/Jamaica, Eastern Standard Time, -5,
America/Jujuy, Argentine Time, -3,
America/Juneau, Alaska Standard Time, -9,
America/Kentucky/Louisville, Eastern Standard Time, -5,
America/Kentucky/Monticello, Eastern Standard Time, -5,
America/Knox_IN, Central Standard Time, -6,
America/Kralendijk, GMT-04:00, -4,
America/La_Paz, Bolivia Time, -4,
America/Lima, Peru Time, -5,
America/Los_Angeles, Pacific Standard Time, -8,
America/Louisville, Eastern Standard Time, -5,
America/Lower_Princes, GMT-04:00, -4,
